timestamp,Kp_roll,Kp_pitch,Kp_yaw,rbfnn_lr,pitch_offset,roll_offset,cost,verdict
2026-04-08 20:24:13,0.148557,0.148557,0.145568,0.318560,-0.151262,0.050000,540.5823,STUCK_ON_GROUND
2026-04-08 20:25:37,0.081232,0.081232,0.223764,0.373676,-0.064083,0.035631,535.4944,NEAR_FLIP
2026-04-08 20:27:17,0.176060,0.176060,0.107969,0.253225,-0.057877,0.005602,537.8776,STUCK_ON_GROUND
2026-04-08 20:28:36,0.149792,0.149792,0.169248,0.359063,-0.153117,0.048956,536.5945,NEAR_FLIP
2026-04-08 20:29:58,0.186527,0.186527,0.319700,0.496678,-0.166072,-0.040483,514.7139,NEAR_FLIP
2026-04-08 20:31:18,0.173670,0.173670,0.310315,0.422765,-0.149894,0.006477,236.6493,LOW_ALT
2026-04-08 20:32:43,0.153349,0.153349,0.219140,0.308800,-0.158055,0.037411,543.6487,NEAR_FLIP
2026-04-08 20:34:08,0.295432,0.295432,0.370511,0.415096,-0.091850,0.025592,337.6998,NEAR_FLIP
2026-04-08 20:35:52,0.061107,0.061107,0.118902,0.143930,-0.141091,0.009642,241.3119,LOW_ALT
2026-04-08 20:37:09,0.141510,0.141510,0.199613,0.284844,-0.163404,0.043991,236.5283,LOW_ALT
2026-04-08 20:38:32,0.113043,0.113043,0.454415,0.427644,-0.102293,-0.009397,536.8969,NEAR_FLIP
2026-04-08 20:39:53,0.156077,0.156077,0.129085,0.445413,-0.236926,0.024501,536.7520,NEAR_FLIP
2026-04-08 20:41:13,0.156048,0.156048,0.251176,0.268556,-0.153510,0.039312,536.8050,NEAR_FLIP
2026-04-08 20:42:43,0.244608,0.244608,0.346426,0.266802,-0.112064,0.048023,548.8827,NEAR_FLIP
2026-04-08 20:44:07,0.281616,0.281616,0.374597,0.046003,-0.094802,-0.021531,537.8559,NEAR_FLIP
2026-04-08 20:45:48,0.214867,0.214867,0.255272,0.288872,-0.126382,0.048454,541.6406,STUCK_ON_GROUND
2026-04-08 20:47:08,0.048780,0.048780,0.305376,0.355394,-0.124749,0.000109,236.7476,LOW_ALT
2026-04-08 20:48:24,0.058176,0.058176,0.289087,0.428835,-0.203838,0.016394,1035.1446,FLIPPED
2026-04-08 20:49:44,0.217047,0.217047,0.142087,0.246562,-0.158326,0.035375,536.5803,NEAR_FLIP
2026-04-08 20:51:00,0.185126,0.185126,0.297338,0.444280,-0.238058,0.002125,1235.9020,FLIPPED
2026-04-08 20:52:34,0.149380,0.149380,0.256421,0.221255,-0.056307,-0.045262,549.4997,NEAR_FLIP
2026-04-08 20:53:54,0.159845,0.159845,0.129331,0.312378,-0.142449,0.050000,236.8121,LOW_ALT
2026-04-08 20:55:19,0.117364,0.117364,0.157917,0.184077,-0.074013,-0.039651,537.5418,NEAR_FLIP
2026-04-08 20:56:42,0.245839,0.245839,0.485273,0.456382,-0.166892,0.031931,236.5699,LOW_ALT
2026-04-08 20:58:24,0.180567,0.180567,0.235249,0.343887,-0.137972,0.039745,557.3214,NEAR_FLIP
2026-04-08 20:59:40,0.130239,0.130239,0.444604,0.262161,-0.197244,0.037490,1035.6269,FLIPPED
2026-04-08 21:01:03,0.075052,0.075052,0.293891,0.402698,-0.090654,-0.004823,536.7505,NEAR_FLIP
2026-04-08 21:02:26,0.209720,0.209720,0.203784,0.208902,-0.126735,0.038892,236.4715,LOW_ALT
2026-04-08 21:03:54,0.275699,0.275699,0.306820,0.111565,-0.024120,0.033630,535.3767,NEAR_FLIP
2026-04-08 21:05:34,0.121252,0.121252,0.157672,0.231314,-0.005694,0.010513,527.5710,NEAR_FLIP
2026-04-08 21:06:55,0.152279,0.152279,0.194030,0.328790,-0.147831,0.042283,536.5891,NEAR_FLIP
2026-04-08 21:08:18,0.264696,0.264696,0.286556,0.173160,-0.102705,-0.047196,344.0355,NEAR_FLIP
