timestamp,pitch_offset,roll_offset,rbfnn_lr,cost,verdict
2026-04-13 18:54:22.709051,-0.05741,-0.03268,0.01363,556.14,STUCK
2026-04-13 18:55:47.116288,-0.02516,-0.01130,0.01518,457.37,NEAR_FLIP
2026-04-13 18:57:13.667907,0.01128,-0.02389,0.01385,414.58,NEAR_FLIP
2026-04-13 18:58:38.261873,-0.03702,-0.02054,0.01417,459.66,NEAR_FLIP
2026-04-13 19:00:01.513987,-0.02859,-0.02632,0.01363,657.99,NEAR_FLIP
2026-04-13 19:01:25.686402,-0.02196,-0.02326,0.00763,656.21,NEAR_FLIP
2026-04-13 19:03:03.838409,-0.02646,-0.00765,0.01200,556.21,STUCK
2026-04-13 19:04:24.854901,0.00725,0.05863,0.02412,657.02,NEAR_FLIP
2026-04-13 19:06:04.019442,-0.00976,0.01831,0.01066,258.26,LOW_ALT
2026-04-13 19:07:26.222871,-0.13742,0.07492,0.02347,658.53,NEAR_FLIP
2026-04-13 19:09:04.339669,0.03253,-0.01729,0.02195,555.03,STUCK
2026-04-13 19:10:24.448909,-0.10264,0.03225,0.01003,658.83,NEAR_FLIP
2026-04-13 19:11:48.651826,0.04449,-0.01620,0.01147,457.70,NEAR_FLIP
2026-04-13 19:13:12.814560,-0.05237,-0.03303,0.00966,657.87,NEAR_FLIP
2026-04-13 19:14:36.961341,-0.00032,-0.03684,0.00370,457.58,NEAR_FLIP
2026-04-13 19:16:15.088734,-0.00771,-0.00475,0.00532,78.82,FLEW
2026-04-13 19:17:37.180018,-0.00953,-0.00498,0.01183,459.45,NEAR_FLIP
2026-04-13 19:19:15.651792,-0.07790,-0.04944,0.02411,557.37,STUCK
2026-04-13 19:20:47.254848,-0.04583,-0.03753,0.00998,412.67,NEAR_FLIP
2026-04-13 19:22:13.376503,-0.04874,0.00302,0.01304,456.55,NEAR_FLIP
2026-04-13 19:23:39.583329,-0.02957,0.00231,0.00750,456.27,NEAR_FLIP
2026-04-13 19:25:07.804769,-0.01278,-0.03719,0.00790,660.13,NEAR_FLIP
2026-04-13 19:26:33.053605,-0.02151,-0.01613,0.01259,456.42,NEAR_FLIP
2026-04-13 19:28:11.806765,-0.04416,-0.00468,0.00623,255.46,LOW_ALT
2026-04-13 19:29:34.539681,0.03745,-0.04055,0.00975,664.46,NEAR_FLIP
2026-04-13 19:30:54.721245,0.06797,-0.02212,0.01093,658.23,NEAR_FLIP
2026-04-13 19:32:17.712387,-0.08093,0.05391,0.01942,657.63,NEAR_FLIP
2026-04-13 19:33:56.292060,0.03410,0.06187,0.02437,257.52,LOW_ALT
2026-04-13 19:35:20.492660,-0.02084,-0.02379,0.00807,456.89,NEAR_FLIP
2026-04-13 19:36:40.659548,-0.09920,0.04972,0.00335,658.92,NEAR_FLIP
2026-04-13 19:38:10.853278,-0.02742,0.04853,0.01791,413.61,NEAR_FLIP
2026-04-13 19:39:49.590230,-0.00484,-0.02145,0.00970,558.31,STUCK
2026-04-13 19:41:24.134427,0.03988,0.01068,0.01423,417.06,NEAR_FLIP
